2021-10-09 21:11:07.919 [http-nio-8080-exec-88] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.919 [http-nio-8080-exec-97] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.926 [http-nio-8080-exec-91] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.921 [http-nio-8080-exec-83] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.922 [http-nio-8080-exec-90] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.927 [http-nio-8080-exec-87] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.925 [http-nio-8080-exec-75] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.924 [http-nio-8080-exec-92] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.922 [http-nio-8080-exec-45] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.922 [http-nio-8080-exec-57] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.928 [http-nio-8080-exec-29] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.928 [http-nio-8080-exec-50] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.928 [http-nio-8080-exec-5] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.920 [http-nio-8080-exec-82] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.922 [http-nio-8080-exec-14] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.928 [http-nio-8080-exec-26] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.922 [http-nio-8080-exec-3] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.929 [http-nio-8080-exec-64] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.923 [http-nio-8080-exec-6] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.919 [http-nio-8080-exec-80] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.922 [http-nio-8080-exec-74] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.929 [http-nio-8080-exec-22] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.922 [http-nio-8080-exec-69] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.920 [http-nio-8080-exec-60] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.922 [http-nio-8080-exec-81] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.922 [http-nio-8080-exec-1] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.922 [http-nio-8080-exec-16] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.920 [http-nio-8080-exec-68] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.922 [http-nio-8080-exec-77] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.922 [http-nio-8080-exec-18] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.922 [http-nio-8080-exec-89] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.920 [http-nio-8080-exec-51] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.922 [http-nio-8080-exec-76] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.922 [http-nio-8080-exec-38] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.920 [http-nio-8080-exec-2] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.922 [http-nio-8080-exec-94] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.920 [http-nio-8080-exec-55] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.922 [http-nio-8080-exec-54] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.922 [http-nio-8080-exec-33] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.922 [http-nio-8080-exec-13] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.920 [http-nio-8080-exec-40] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.922 [http-nio-8080-exec-59] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.922 [http-nio-8080-exec-56] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.922 [http-nio-8080-exec-78] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.922 [http-nio-8080-exec-43] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.920 [http-nio-8080-exec-36] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.919 [http-nio-8080-exec-15] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.921 [http-nio-8080-exec-41] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.919 [http-nio-8080-exec-37] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.921 [http-nio-8080-exec-65] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.921 [http-nio-8080-exec-10] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.920 [http-nio-8080-exec-99] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.919 [http-nio-8080-exec-4] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.921 [http-nio-8080-exec-20] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.919 [http-nio-8080-exec-47] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.921 [http-nio-8080-exec-8] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.921 [http-nio-8080-exec-39] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.929 [http-nio-8080-exec-35] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.929 [http-nio-8080-exec-27] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.929 [http-nio-8080-exec-98] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.929 [http-nio-8080-exec-71] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.923 [http-nio-8080-exec-67] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.929 [http-nio-8080-exec-72] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.924 [http-nio-8080-exec-70] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.929 [http-nio-8080-exec-17] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.929 [http-nio-8080-exec-61] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.928 [http-nio-8080-exec-42] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.921 [http-nio-8080-exec-30] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.919 [http-nio-8080-exec-46] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.925 [http-nio-8080-exec-63] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.925 [http-nio-8080-exec-7] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.925 [http-nio-8080-exec-28] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.925 [http-nio-8080-exec-48] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.921 [http-nio-8080-exec-66] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.924 [http-nio-8080-exec-86] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:08.331 [http-nio-8080-exec-2] INFO  c.e.x.r.controller.BindingResultGoodsController - 商品名称不能为空
2021-10-09 21:11:08.332 [http-nio-8080-exec-14] INFO  c.e.x.r.controller.BindingResultGoodsController - 商品名称不能为空
2021-10-09 21:11:08.332 [http-nio-8080-exec-36] INFO  c.e.x.r.controller.BindingResultGoodsController - 商品名称不能为空
2021-10-09 21:11:08.333 [http-nio-8080-exec-73] INFO  c.e.x.r.controller.BindingResultGoodsController - 商品名称不能为空
2021-10-09 21:11:08.332 [http-nio-8080-exec-33] INFO  c.e.x.r.controller.BindingResultGoodsController - 商品名称不能为空
2021-10-09 21:11:08.332 [http-nio-8080-exec-20] INFO  c.e.x.r.controller.BindingResultGoodsController - 商品名称不能为空
2021-10-09 21:11:08.331 [http-nio-8080-exec-32] INFO  c.e.x.r.controller.BindingResultGoodsController - 商品名称不能为空
2021-10-09 21:11:08.340 [http-nio-8080-exec-57] INFO  c.e.x.r.controller.BindingResultGoodsController - 商品名称不能为空
2021-10-09 21:11:08.342 [http-nio-8080-exec-49] INFO  c.e.x.r.controller.BindingResultGoodsController - 商品名称不能为空
